turbine_capacity,rotor_diameter_m,hub_height_m,commissioning_date,province_territory,model
150,23,30,1993,Alberta,Other
600,44,40,1997,Alberta,Other
600,44,50,1998,Alberta,Other
600,44,50,1998,Alberta,Other
600,44,50,1998,Alberta,Other
660,47,50,2000,Alberta,V47/660
1300,60,46,2001,Alberta,Other
1300,60,46,2001,Alberta,Other
1300,60,46,2001,Alberta,Other
1300,60,46,2001,Alberta,Other
1300,60,46,2001,Alberta,Other
1300,60,46,2001,Alberta,Other
1300,60,46,2001,Alberta,Other
1300,60,46,2001,Alberta,Other
1300,60,46,2001,Alberta,Other
1300,60,46,2001,Alberta,Other
1300,60,46,2001,Alberta,Other
1300,60,46,2001,Alberta,Other
1300,60,46,2001,Alberta,Other
1300,60,46,2001,Alberta,Other
1300,60,46,2001,Alberta,Other
600,40,48,2001,Alberta,Other
660,50,47,2001,Alberta,V47/660
1300,60,60,2001,Alberta,Other
1300,60,60,2001,Alberta,Other
1300,60,60,2001,Alberta,Other
1300,60,60,2001,Alberta,Other
1300,60,60,2001,Alberta,Other
660,47,50,2001,Alberta,V47/660
1800,80,65,2002,Alberta,Other
660,47,50,2002,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
660,50,47,2003,Alberta,V47/660
3000,90,67,2004,Alberta,Other
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
1500,77,65,2004,Alberta,GE 1.5SLE
750,51.5,75,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1800,80,65,2004,Alberta,Other
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
1500,77,65,2006,Alberta,GE 1.5SLE
